"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
1530,0,83.7,0.06,4.76,1.12,0.06,11.2,3,29,1800000,44000,174,4,1,3400000,1,162,1,1
2929,0.15,81.7,0.12,2.03,0.12,0,5.51,3,24,2e+07,23000,183,3,1,41500000,1,475,5,2
3146,0.17,82.4,0.03,5.26,3.4,0,11.2,2,29,4700000,23000,186,2,1,9400000,2,132,5,3
1502,0.18,74.1,0.24,3.53,0.3,0,6.95,3,25,24500000,53000,180,41,1,48400000,1,2285,5,3
954,0.09,78.1,0.09,2.36,0.66,0,6.23,3,27,1.1e+07,71000,188,8,1,20900000,1,695,1,3
954,0.09,78.1,0.09,2.36,0.66,0,6.23,3,20,4100000,15000,168,4,1,8600000,1,2182,5,4
954,0.09,78.1,0.09,2.36,0.66,0,6.23,4,22,1100000,2000,173,2,1,2500000,2,632,6,3
954,0.09,78.1,0.09,2.36,0.66,0,6.23,1,27,170000,500,189,105,1,242000,5,2243,67,2
2250,0,76.2,0,0,0,0.08,5.72,1,27,7e+06,30000,196,21,1,13800000,4,2500,5,4
2250,0,76.2,0,0,0,0.08,5.72,2,28,5e+05,2000,185,3,0,875000,1,2118,33,4
2285,0.16,66.7,0.08,3.86,0.31,0,6.54,3,20,2500000,16000,185,4,1,6300000,1,695,1,4
2754,0.33,77.8,0.29,1.31,0.42,0,4.77,4,21,2.9e+07,29000,180,3,1,60900000,1,1359,5,3
1393,0,83.7,0.06,3.94,1.94,0.06,10.3,3,34,4800000,24000,169,9,0,10100000,3,38,2,1
867,0,87.9,0,3.54,1.35,0,12.1,3,23,1.2e+07,26000,180,7,1,27600000,1,40,2,3
810,0,66.1,0,0,0.11,0,4.33,1,25,2600000,17000,196,4,1,5400000,1,682,1,3
2074,0.13,79.3,0.04,4.96,5.04,0.09,13.8,2,27,1900000,14000,193,16,0,3600000,1,88,4,3
2101,0.21,57.6,0.09,2.53,1.59,0,4.89,4,30,5500000,25000,185,16,1,9900000,1,141,4,1
2101,0.21,57.6,0.09,2.53,1.59,0,4.89,2,28,4e+05,850,187,16,0,610000,1,2141,67,2
1326,0.2,83.2,0.07,3.2,1.02,0,12.2,3,23,2.1e+07,58000,175,60,1,37300000,4,15,4,4
2479,0.15,89.3,0.22,4.62,0.8,0.04,4.87,2,22,69500000,1e+05,181,32,1,133800000,4,12,5,5
1159,0,81.3,0,3.41,5.27,0,9.84,3,28,375000,500,171,40,1,834000,2,1462,67,1
1091,0.25,91.9,0.17,4.21,0.83,0,8.51,3,31,14500000,78000,182,7,1,26800000,1,12,5,3
1091,0.25,91.9,0.17,4.21,0.83,0,8.51,2,22,3400000,7000,180,6,1,5800000,2,348,67,2
2820,0.16,81.8,0.03,2.68,1.47,0,5.75,2,19,3200000,7000,175,49,1,7400000,1,198,3,3
625,0.14,67.6,0.14,2.17,1.16,0,4.93,4,20,2500000,10000,190,47,1,6600000,1,682,1,3
2140,0.25,73,0.08,0.76,0.34,0,3.19,4,21,4.5e+07,37000,192,17,1,97900000,1,40,2,5
1272,0,85.6,0,2.98,5.89,0,9.93,2,24,3e+06,25000,185,69,1,5600000,1,1811,3,4
2035,0.09,77.2,0.09,3.81,1.02,0,6.55,3,25,1.3e+07,68000,185,34,1,25700000,4,695,1,3
526,0,79.9,0,5.86,5.17,0,8.97,2,29,1.6e+07,47000,183,5,1,28400000,1,130,3,3
1625,0.17,64.9,0,1.93,0.77,0,4.97,4,26,2.8e+07,45000,186,1,0,58800000,1,40,2,1
1898,0,84.1,0.05,4.36,2.61,0.05,12.5,2,24,1900000,12000,191,16,1,3600000,1,175,4,2
759,0.12,63.7,0.12,3.57,0.83,0,8.33,3,19,2400000,9000,180,16,1,5600000,1,21,4,2
488,0.37,71.4,0,0.74,1.11,0,2.96,4,30,1400000,22000,190,5,1,2500000,1,1811,3,1
1782,0.2,76.8,0.35,1.97,0.3,0,3.79,4,30,3e+07,110000,175,3,1,57000000,1,13,1,1
3420,0,61.1,0,0,0.05,0,4.5,1,22,17500000,18000,196,3,1,36300000,1,132,5,3
1561,0,87.4,0.06,3.76,0.87,0,10.8,3,33,3500000,49000,178,4,1,6700000,1,179,1,2
2828,0.13,94.7,0,2.04,2.48,0.06,9.17,2,27,7.7e+07,185000,191,7,0,148200000,1,3,1,3
1551,0.12,66.1,0,3.08,0.76,0,5.29,3,34,1400000,28000,165,4,1,2700000,1,159,1,1
1080,0,64.5,0,0,0,0.08,6,1,27,3e+06,5000,196,17,1,4100000,1,146,37,0
2982,0,83.9,0,0,0,0.06,4.23,1,30,2.3e+07,60000,184,8,0,45400000,1,1422,5,2
2982,0,83.9,0,0,0,0.06,4.23,4,27,1500000,7000,185,2,0,2300000,2,1621,25,5
2935,0.06,78.8,0,4.91,3.22,0.03,14,3,35,650000,12000,185,3,1,1200000,1,152,4,1
1672,0.38,61.4,0.11,1.02,0.38,0,4.14,4,28,4300000,28000,185,63,1,9500000,3,167,2,2
743,0.12,63.5,0,4.34,2.17,0,6.02,2,23,2600000,12000,180,126,0,4900000,4,88,4,3
180,0,87.8,0,0,0,0,3,1,22,8e+06,59000,192,25,1,18000000,1,4,2,3
2430,0,65.3,0,0,0,0,5.85,1,34,1300000,22000,195,16,1,2300000,1,74,4,3
2123,0.21,81.1,0.08,4.11,0.85,0,10.4,3,22,11500000,42000,174,6,1,24200000,2,179,1,2
487,0,76.6,0,3.33,1.3,0,7.59,3,23,8e+06,49000,177,4,1,16800000,1,13,1,2
1375,0.07,93.2,0,1.76,3.99,0.07,7.06,2,29,19500000,37000,184,30,1,42400000,4,18,2,4
900,0,57.8,0,0,0,0,4.4,1,24,625000,3000,186,3,1,1400000,1,475,5,1
490,0,81.5,0.19,1.3,0.37,0,2.59,4,25,34500000,130000,184,3,1,66400000,1,24,1,3
2292,0.04,70.5,0.04,3.65,1.88,0,6.82,4,21,3200000,8000,170,7,0,7700000,1,206,2,3
