"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
1573,0.57,71.2,0,0.74,0.29,0,2.74,3,18,240000,650,171,20,1,486000,2,213,53,2
874,0,88.7,0,5.88,2.06,0.1,9.38,3,25,1100000,2000,178,34,1,1500000,4,161,32,0
1397,0.06,69.7,0,3.55,3.16,0,7.42,3,34,475000,18000,175,4,0,903000,1,407,18,1
1397,0.06,69.7,0,3.55,3.16,0,7.42,3,20,3400000,16000,181,19,1,8600000,1,23,18,2
1397,0.06,69.7,0,3.55,3.16,0,7.42,2,21,2600000,15000,180,4,1,5500000,1,33,1,1
2778,0.03,90.8,0,4.72,1.97,0,8.93,3,21,3.1e+07,30000,184,3,1,65100000,1,1616,5,1
2778,0.03,90.8,0,4.72,1.97,0,8.93,1,24,2300000,9000,196,21,1,4800000,4,86,5,2
2665,0.03,83.8,0,6.66,7.97,0.03,8.65,2,24,4400000,12000,192,60,1,9700000,4,2194,5,3
877,0.21,61.9,0,0.72,1.13,0,4.54,4,22,2300000,8000,188,3,0,4600000,1,195,4,4
360,0,64.9,0,0,0,0,4,1,29,2.8e+07,87000,190,16,1,55300000,1,13,1,2
1011,0.09,78.2,0.09,3.84,0.71,0,8.3,2,19,550000,2000,180,3,0,1400000,1,1639,5,2
322,0,72.2,0,1.67,0.56,0,4.44,3,18,1100000,2000,181,93,1,2900000,4,188,5,4
2905,0.12,66.8,0.22,1.89,0.65,0,5.54,4,21,9500000,32000,171,3,0,20900000,1,142,1,3
1839,0.15,73.4,0,3.04,5.98,0,11.9,2,31,1.2e+07,39000,180,4,0,22800000,1,159,1,1
1829,0,86.4,0.2,4.09,1.92,0,6.21,2,26,6500000,36000,174,43,0,12800000,1,2500,5,3
2413,0.04,86.7,0.04,3.4,1.75,0,8.1,2,26,1.9e+07,105000,185,3,0,36600000,1,3,1,1
2413,0.04,86.7,0.04,3.4,1.75,0,8.1,3,21,1700000,4000,191,3,1,4500000,1,475,5,3
3021,0.12,79.3,0.15,3.63,1.04,0,7.71,3,24,1.2e+07,20000,187,7,0,27600000,1,62,2,3
2033,0.04,85,0,3.19,4.69,0,7.79,2,31,2900000,14000,190,12,0,5200000,1,110,3,2
932,0,73,0.1,4.04,1.73,0.1,8.37,2,32,1300000,17000,185,16,0,2300000,1,74,4,3
2189,0.04,65.9,0,3.25,3.58,0.04,6.71,2,27,1700000,13000,177,7,0,3900000,1,1220,2,1
2076,0,87.3,0.04,3.85,2.42,0,11.3,2,25,21500000,64000,186,3,1,37100000,1,1,4,3
2978,0.33,75.3,0.21,2.05,0.57,0,6.04,3,19,45500000,50000,178,4,0,95600000,1,13,1,4
2518,0.07,86.6,0.04,3.5,1.57,0,10.5,3,26,15500000,43000,183,3,1,30600000,1,2500,5,4
2421,0,70.7,0.19,4.57,1.86,0,9.7,2,26,1700000,12000,182,16,1,3200000,1,88,4,1
2857,0.25,88.4,0.13,2.65,0.82,0,6.75,3,26,8e+07,2e+05,173,8,0,154000000,1,3,1,4
777,0,71.2,0,4.07,0.58,0.12,7.56,2,19,2700000,3000,181,3,1,6500000,1,110,3,5
2498,0.04,73.4,0.29,2.52,1.83,0,7.34,2,23,1.5e+07,23000,187,18,0,28100000,1,175,4,4
1102,0,81.5,0.08,3.36,1.56,0,8.85,3,22,2.7e+07,68000,188,3,1,56700000,1,45,1,5
1102,0,81.5,0.08,3.36,1.56,0,8.85,3,22,1600000,2000,180,3,0,3200000,1,1071,33,1
1726,0.05,83.6,0.05,4.48,0.94,0,9.74,3,25,12500000,57000,181,62,0,24700000,4,73,1,3
1726,0.05,83.6,0.05,4.48,0.94,0,9.74,3,19,775000,2000,183,60,1,2000000,4,2194,5,3
1726,0.05,83.6,0.05,4.48,0.94,0,9.74,2,17,575000,500,190,3,1,1400000,1,311,33,3
180,0,70,0,0,0,1,5.5,1,27,1500000,11000,192,16,1,2800000,1,281,4,4
2880,0,85.8,0,3.38,3.56,0,9.44,2,23,15500000,52000,185,4,1,32600000,1,13,1,5
2120,0,80.8,0.04,4.96,1.99,0,7.29,2,22,1500000,8000,178,19,0,3100000,1,159,18,1
867,0.1,61.7,0.21,1.88,0.94,0,6.88,3,30,2900000,16000,190,8,1,6400000,1,206,2,4
2039,0.31,69.6,0.13,1.15,0.66,0,5.29,4,24,11500000,46000,178,49,1,22700000,1,115,1,3
691,0,70.9,0.39,3.38,1.3,0,7.79,2,34,5e+06,41000,181,6,1,8500000,2,130,3,1
1130,0.08,62.6,0.08,2.7,0.63,0,5.56,3,27,1700000,13000,173,52,1,3100000,4,152,4,3
1578,0.06,83.8,0.23,5.31,1.09,0,11.2,3,32,1.4e+07,53000,171,20,1,23800000,2,27,4,2
513,0,65.1,0.18,1.05,0.88,0,2.81,4,34,5e+06,26000,181,15,1,10500000,2,226,2,1
356,1,75.4,0,0.75,0.25,0,3.25,4,30,20500000,30000,182,65,1,31800000,4,466,25,0
1888,0.33,72,0.1,2.52,0.71,0,7.67,3,21,22500000,27000,180,23,1,42800000,1,70,4,4
1145,0.31,68.3,0.08,0.71,2.36,0.08,3.54,4,30,5500000,50000,190,1,1,10500000,1,72,1,2
3153,0.11,80.6,0.03,2.14,0.83,0.11,7,2,28,7e+06,44000,185,5,0,11900000,1,64,3,3
1456,0,64.1,0,0,0.06,0,4.2,1,38,1600000,13000,184,20,1,3400000,2,38,2,1
1456,0,64.1,0,0,0.06,0,4.2,2,24,6e+06,6000,170,6,0,10200000,2,575,12,2
2183,0,67,0.04,5.02,3.42,0.04,9.88,2,27,2300000,16000,180,14,1,4100000,1,195,4,1
2396,0,80.9,0.04,2.67,4.85,0.08,8.23,2,32,1500000,32000,190,51,1,2900000,1,319,1,2
831,0.11,83.5,0,3.37,6.41,0,9.35,2,26,6500000,58000,182,4,1,12800000,1,13,1,1
301,0,81.7,0.3,2.12,0.3,0,7.58,3,17,1500000,1000,183,4,1,4400000,1,73,1,2
301,0,81.7,0.3,2.12,0.3,0,7.58,4,19,425000,6000,190,4,1,1100000,1,73,1,3
1014,0,79.3,0.09,2.83,4.42,0,7.61,2,31,3800000,33000,185,47,0,7200000,1,96,1,2
3361,0.11,90.1,0,2.01,4.02,0,6.3,2,28,17500000,80000,186,4,1,34600000,1,58,1,4
141,0,75,0,6.88,6.25,0,10.6,2,18,1100000,4000,191,4,1,2800000,1,162,1,4
165,0,91.4,0,3.33,0,0,3.33,2,22,1e+07,49000,170,3,1,19300000,1,12,5,3
2754,0.07,82.3,0.07,2.06,4.74,0.03,8.66,2,31,7e+06,56000,188,4,1,13300000,1,33,1,2
2946,0.03,87.6,0.12,4.89,0.58,0,9.14,3,21,8500000,20000,180,60,1,17600000,4,121,5,3
128,0,77.9,0,6.43,1.43,0,6.43,2,19,1200000,7000,184,4,1,3000000,1,162,1,3
1716,0.05,69.6,0.1,1.78,0.47,0,4.92,3,27,6e+06,17000,182,52,1,10800000,4,259,3,3
939,0.1,74.4,0.38,2.69,1.06,0,8.17,3,29,29500000,120000,181,11,1,50200000,1,2247,3,3
1714,0.16,79.4,0.11,2.79,0.42,0,6.68,3,23,4800000,19000,178,16,1,9600000,1,175,4,4
1722,0.05,72.2,0,6.44,2.2,0,8.48,2,31,1700000,16000,175,44,1,3100000,3,152,4,2
450,0,63.3,0,2.6,2.4,0,11.6,2,25,1300000,13000,196,4,1,2700000,1,142,1,3
970,0,80.8,0,4.17,1.67,0,8.7,3,26,2800000,16000,173,55,1,5300000,2,141,4,3
3060,0.06,70.1,0.26,2.18,1.41,0.03,6.26,2,28,1.6e+07,32000,184,16,0,28800000,1,281,4,3
2034,0.04,86.3,0,4.03,3.89,0.09,7.08,2,27,2500000,13000,195,86,1,5200000,4,539,5,2
962,0.09,79.6,0.19,1.68,0.47,0,5.14,4,20,2.3e+07,72000,178,4,1,47200000,1,5,1,3
1932,0,88.1,0,5.21,4.05,0.05,6.42,2,28,2900000,15000,188,3,1,6000000,1,2396,5,3
2711,0.9,78.3,0.07,0.8,0.5,0,3.55,4,31,67500000,125000,185,5,1,114800000,1,36,3,4
255,0.36,75.2,0,3.21,0,0,7.5,4,25,2e+06,16000,170,3,1,4200000,1,121,5,2
851,0.11,90.4,0.11,2.32,0.21,0,8,3,20,7500000,49000,185,4,1,15400000,1,431,1,4
1193,0,78.9,0,2.71,4.36,0.15,8.72,2,30,4600000,42000,188,1,1,8700000,1,319,1,2
180,0,90,0,0,0,0,5.5,1,22,2200000,17000,188,47,1,4500000,1,431,1,1
1974,0,83.3,0.05,4.79,2.47,0,11.8,2,31,9500000,51000,189,21,1,18100000,4,72,1,1
748,0,79.2,0,5.66,2.41,0.12,12.9,3,30,14500000,31000,191,16,1,24700000,1,113,4,2
826,0,90.8,0.11,3.59,2.07,0,10.5,2,26,37500000,145000,186,3,0,79700000,1,6,2,5
664,0,72.6,0.14,5.68,4.32,0,10.9,2,26,3500000,20000,180,16,0,6200000,1,49,4,3
2095,0.09,91.4,0,4.55,3.09,0.04,10.1,2,18,1600000,4000,184,3,0,4000000,1,1422,5,3
1817,0.05,62.5,0,4.01,2.67,0,5.59,2,27,1200000,11000,190,48,0,2000000,1,298,3,1
134,0,86.9,0,4,6,0,12,2,19,3100000,10000,193,3,1,6500000,1,2285,5,4
113,0,91.7,0,3.85,5.38,0,10.8,2,20,1800000,5000,183,4,0,3600000,1,175,4,3
548,0,76.2,0.16,3.61,3.77,0,7.38,2,37,3e+05,7000,182,5,0,540000,1,513,3,3
2108,0,72.1,0,3.63,2.82,0.04,6.79,2,25,1.9e+07,23000,174,7,0,41300000,1,226,2,4
409,0,79.5,0,1.78,0,0,8.22,3,28,2400000,18000,186,181,1,4800000,4,475,5,2
2723,0.66,80.1,0.43,1.62,0.59,0,5.05,3,23,3.9e+07,72000,179,3,1,69200000,1,15,4,3
3054,0.09,79.8,0.12,6.34,1.68,0.03,12.9,3,27,3300000,33000,187,11,1,6800000,1,142,1,3
123,0,84.9,0,2.86,0,0,5,4,19,1600000,14000,189,4,0,4600000,1,3,1,5
322,0.28,68.6,0,6.94,2.5,0,8.61,2,28,5e+06,29000,189,5,1,10500000,1,67,2,1
554,0.16,84.7,0.16,1.61,0,0,7.58,4,23,9e+06,41000,173,7,0,17100000,1,28,3,3
1692,0.05,67.4,0.05,3.35,2.93,0.05,7.98,2,25,7e+06,28000,175,19,1,13800000,1,159,1,4
2456,0.66,80.9,0.11,0.55,1.14,0.04,3.7,4,36,4.5e+07,270000,187,8,1,83300000,1,24,1,2
2091,0.13,89.3,0,3.15,3.92,0.04,8.97,2,31,9500000,47000,194,4,1,16200000,1,28,3,2
2474,0.4,69.1,0.18,1.71,1.27,0,6.8,3,24,51500000,39000,180,7,1,118500000,1,67,2,2
1073,0.08,72.7,0.08,3.03,0.59,0,5.55,3,22,21500000,28000,187,12,0,45200000,1,1359,5,5
130,0,72.5,0,7.86,0,0,11.4,3,19,2900000,15000,174,12,1,6100000,1,162,1,2
2731,0,71.6,0.1,4.16,2.77,0.03,9.08,2,27,8e+06,31000,185,4,0,15800000,1,159,1,3
2731,0,71.6,0.1,4.16,2.77,0.03,9.08,2,18,3e+05,2000,192,4,1,758000,1,341,18,3
819,0.22,77.1,0.22,2.86,0.66,0,7.69,3,29,1.7e+07,30000,178,7,1,35700000,1,38,2,1
105,0,66.7,0,4.17,0,0,9.17,4,24,2200000,15000,182,16,1,4100000,1,74,4,2
703,0.26,86.9,0.13,2.95,1.54,0,11.2,3,26,24500000,78000,181,3,1,42300000,1,1,4,1
1990,0.09,68,0,4.62,3.48,0.05,9.77,2,34,3900000,29000,189,23,1,7000000,1,74,4,3
336,0,73.5,0,2.16,0.54,0,6.76,3,19,1e+07,17000,179,48,1,26300000,1,682,1,5
1386,0.52,69.9,0,0.78,0.78,0.06,2.6,4,29,17500000,53000,180,4,1,33300000,1,96,1,3
1386,0.52,69.9,0,0.78,0.78,0.06,2.6,3,18,240000,850,181,4,1,570000,1,2644,67,1
1367,0.2,59.1,0,0.99,0.39,0,2.7,4,29,17500000,48000,191,119,1,33300000,6,159,1,2
1367,0.2,59.1,0,0.99,0.39,0,2.7,2,24,775000,3000,177,4,0,1400000,1,47,67,2
1367,0.2,59.1,0,0.99,0.39,0,2.7,3,18,250000,1000,172,4,1,594000,1,511,67,1
1050,0,88.9,0.09,4.96,3.85,0.09,7.44,2,19,1600000,3000,191,3,1,4200000,1,121,5,4
157,0,72.7,0,4.71,1.76,0,9.41,2,28,1600000,21000,194,16,1,3200000,1,682,1,2
2569,0.04,86.4,0.11,5.23,2.95,0.11,12.2,3,29,8.8e+07,310000,185,2,1,180400000,2,4,2,4
3240,0.06,82.7,0.06,2.53,5.33,0,9.14,2,26,3500000,15000,194,7,1,8000000,1,206,2,2
398,0,62.2,0,2.95,1.14,0,7.5,4,22,2300000,9000,181,7,1,5500000,1,167,2,1
208,0,66.7,1.3,6.52,1.3,0,9.13,4,21,1900000,2000,179,8,1,4400000,1,632,6,3
118,0.77,83.6,0,4.62,6.15,0,11.5,2,34,850000,17000,177,7,1,1800000,1,233,2,1
726,0,64.7,0.12,2.72,0.86,0,4.81,4,22,2300000,8000,184,34,1,4600000,4,596,4,3
2642,0.07,91.7,0.1,2.24,2.28,0.07,6.43,2,29,35500000,195000,180,23,0,72800000,1,4,2,5
1080,0,73,0,0,0,0.08,5.17,1,18,2400000,1000,189,39,1,6100000,1,2500,5,5
657,0.14,78,0,4.93,1.64,0,6.3,3,25,26500000,90000,188,4,1,52300000,1,23,1,3
2123,0,91.7,0,2.33,4.66,0.08,8.94,2,26,8500000,70000,186,52,1,16800000,4,45,1,1
2099,0,78,0,4.94,3.13,0,7.12,2,29,1600000,15000,179,3,1,3200000,1,132,5,2
1080,0,59.1,0,0,0,0,4.75,1,26,1600000,20000,191,23,1,3200000,1,319,1,3
180,0,96.3,0,4.5,4,0,4.5,2,27,2e+06,11000,181,3,1,4200000,1,2396,5,1
90,0,80.5,0,4,9,0,7,2,24,1100000,3000,173,9,1,2100000,3,1078,9,4
290,0,74,0.31,2.5,1.56,0,10.3,3,29,7500000,41000,182,5,1,12800000,1,130,3,1
2819,0.48,71.8,0.45,2.56,0.8,0,6.61,4,26,33500000,51000,183,5,0,57000000,1,54,3,3
833,0,70.8,0,0,0,0,4.73,1,23,2800000,11000,180,3,1,5800000,1,188,5,1
768,0.12,80.7,0.12,2.82,1.65,0,10.9,3,28,3100000,22000,178,5,1,5300000,1,79,3,1
930,0,73.4,0,4.66,3.3,0,8.45,2,26,2600000,12000,182,5,1,4900000,1,259,3,1
346,0.53,63.7,0,1.84,0.53,0,8.95,3,30,1800000,15000,183,16,0,3200000,1,152,4,1
2436,0.33,69.2,0.22,2.32,1.29,0.04,7.31,3,26,9e+06,30000,180,85,1,18700000,4,379,5,2
1898,0,85.8,0,1.9,6.64,0.09,7.77,2,30,11500000,42000,188,1,1,19600000,1,285,4,3
2545,0.04,82.5,0.07,3.89,3.04,0.04,6.89,2,26,6500000,17000,185,28,1,13500000,4,2194,5,3
390,0,64,0,2.33,1.63,0,6.28,2,32,1600000,16000,178,16,1,2900000,1,88,4,1
1440,0,80.1,0.06,3.38,7.13,0,10.8,2,29,4700000,46000,198,4,0,8900000,1,179,1,2
2119,0.09,76.2,0.09,4.98,1.49,0,8.98,2,24,1.8e+07,31000,177,5,1,32000000,1,11,3,4
2004,0.18,69.1,0.09,3.63,1.03,0,9.6,3,33,6500000,26000,182,5,1,11700000,1,141,4,2
1283,0.35,61.6,0.14,1.4,0.84,0,3.43,4,24,37500000,90000,187,4,1,74100000,1,695,1,4
2957,0.09,88.4,0,3.01,4.26,0.12,8.42,2,28,30500000,37000,185,2,1,66300000,2,22,2,3
1707,0.05,85.9,0.11,3.47,0.84,0,9.68,3,26,3600000,40000,180,5,1,6400000,1,36,3,3
276,0,90.5,0,6.13,0,0,9.68,3,24,14500000,1e+05,179,7,1,30800000,1,4,2,2
753,0,80.5,0.12,3.69,1.07,0,8.81,3,23,1400000,5000,177,3,0,3100000,1,2565,5,1
563,0,63.9,0.16,3.65,1.9,0,8.25,3,30,7e+06,31000,179,41,0,14700000,1,67,2,1
1618,0.33,78.7,0.06,4.33,3.28,0,11.4,2,34,2400000,16000,183,5,0,4300000,1,259,3,1
1000,0.09,88.7,0.09,3.51,2.16,0.09,8.56,2,32,11500000,85000,180,5,1,19600000,1,2247,3,1
1126,0,89.2,0,3.6,4.96,0.08,8.08,2,33,5e+06,51000,184,3,1,9500000,1,1422,5,2
1126,0,89.2,0,3.6,4.96,0.08,8.08,1,21,90000,500,175,105,1,140000,5,2082,67,4
1801,0,79.8,0,5.1,3.05,0,8.9,2,22,11500000,68000,184,8,1,23600000,1,24,1,2
692,0.13,90.2,0,4.03,0.52,0,10.6,3,29,1.8e+07,66000,172,16,1,30600000,1,10,3,3
277,0,70.2,0.32,2.9,0.32,0,5.81,3,31,2500000,22000,180,16,0,4500000,1,175,4,1
1687,0.05,78.1,0,2.46,5.24,0.16,10.4,2,26,17500000,24000,190,8,1,38100000,1,226,2,2
1687,0.05,78.1,0,2.46,5.24,0.16,10.4,3,21,1900000,4000,177,12,1,3100000,1,1057,7,3
1687,0.05,78.1,0,2.46,5.24,0.16,10.4,4,19,1300000,500,176,33,0,3700000,2,202,67,3
2028,0.22,74.9,0.18,2.93,1.2,0,5.78,2,25,3.5e+07,1e+05,188,12,1,62100000,1,2247,3,4
2342,0,70,0.04,3.92,2.15,0,8.5,2,28,9500000,32000,183,3,1,20000000,1,67,2,4
2854,0.13,83.7,0.09,3.03,1.58,0.06,6.18,3,21,3400000,11000,184,5,1,6500000,1,54,3,4
3105,0.12,82.8,0,3.13,5.91,0.03,11,3,31,11500000,29000,180,7,1,24200000,1,50,2,1
3105,0.12,82.8,0,3.13,5.91,0.03,11,2,27,1.6e+07,28000,185,7,1,34800000,1,258,2,5
3105,0.12,82.8,0,3.13,5.91,0.03,11,3,27,350000,500,176,40,1,753000,2,1462,67,1
1377,0.13,82.8,0.13,4.25,0.33,0.07,9.61,3,23,6e+06,23000,173,16,1,11400000,1,70,4,1
1169,0,73.6,0.08,5.85,2.38,0,9.15,2,25,5500000,26000,178,48,0,11400000,1,682,1,3
818,0,90.6,0.11,4.07,5.16,0,9.45,2,35,5500000,27000,187,13,1,9400000,2,298,3,2
1793,0,83.9,0,3.52,4.97,0,6.83,3,27,4500000,1000,175,33,1,9900000,2,202,67,3
1793,0,83.9,0,3.52,4.97,0,6.83,3,33,1900000,14000,178,6,1,2700000,2,68,67,1
1793,0,83.9,0,3.52,4.97,0,6.83,2,26,2100000,10000,185,7,0,4600000,1,157,2,1
1793,0,83.9,0,3.52,4.97,0,6.83,4,27,1300000,500,179,40,1,2800000,2,878,67,0
166,0.56,85.1,0,1.67,1.67,0,11.1,3,31,1900000,35000,183,4,1,3600000,1,319,1,2
2338,0.19,71.9,0.15,1.88,0.58,0.04,5.46,4,25,7500000,66000,183,4,1,14800000,1,695,1,3
90,0,64.5,0,0,0,0,8,1,24,4500000,11000,197,38,1,10800000,1,1220,2,5
1063,0.34,79.7,0.17,0.93,0.59,0,3.98,4,22,4900000,21000,178,7,1,11300000,1,233,2,4
1063,0.34,79.7,0.17,0.93,0.59,0,3.98,2,33,625000,950,173,15,0,844000,2,963,67,5
1063,0.34,79.7,0.17,0.93,0.59,0,3.98,3,19,475000,1000,180,6,1,808000,2,273,67,3
467,0,81.8,0,4.42,4.42,0,7.69,2,27,4500000,22000,190,16,0,8400000,1,281,4,1
256,0,81.4,0.36,2.86,1.07,0,6.07,3,22,1600000,6000,193,1,1,3000000,1,513,3,3
1898,0.33,67.9,0.28,1.94,0.9,0,4.22,4,28,26500000,90000,178,4,1,50400000,1,73,1,3
2366,0.15,65,0.15,2.05,0.46,0,4.68,3,23,1.6e+07,62000,171,19,1,31600000,1,162,1,5
225,0,64.5,0,1.6,1.6,0,8.4,3,21,1600000,8000,177,27,0,3000000,1,285,4,1
1445,0.06,60.4,0.12,1.43,0.56,0,4.91,4,23,2300000,11000,185,43,1,4300000,1,513,3,3
2364,0.57,73.7,0.15,2.02,0.23,0,5.36,4,24,4.6e+07,120000,178,8,1,88600000,1,431,1,4
2139,0.17,78.7,0.13,2.31,0.34,0,7.27,3,24,2.4e+07,29000,184,24,1,42600000,5,49,4,2
1261,0.36,83.8,0.57,3.29,0.07,0,6.43,4,21,5.8e+07,72000,186,17,0,107300000,1,16,3,3
140,0,81.8,0,1.25,0,0,8.13,3,21,9500000,15000,168,9,0,21900000,3,38,2,3
2044,0.09,73.2,0.13,4.54,1.41,0,9.38,3,33,2600000,21000,181,3,0,5200000,1,86,5,2
1969,0.14,70.7,0.05,2.15,0.73,0,7.95,3,23,3400000,15000,187,23,1,6800000,1,88,4,4
2340,0.12,82.4,0,4.5,4,0.04,10.6,2,27,1.1e+07,65000,186,7,1,21700000,1,162,1,3
1642,0,86.1,0,4.95,1.15,0,7.36,3,19,1400000,3000,184,21,1,3700000,4,1639,5,2
2715,0.07,83.3,0.1,4.14,0.96,0,9.44,3,23,14500000,47000,175,2,1,28600000,2,73,1,2
3177,0,73.2,0,0,0.03,0.03,5.35,1,39,1200000,9000,196,7,1,2500000,1,135,2,1
3177,0,73.2,0,0,0.03,0.03,5.35,2,31,7e+06,19000,183,7,1,14700000,1,135,2,2
3177,0,73.2,0,0,0.03,0.03,5.35,4,19,850000,3000,172,7,1,2300000,1,67,2,3
523,0,84,0.17,4.14,1.55,0,7.59,2,27,1800000,16000,173,15,0,3600000,2,121,5,3
1376,0.26,66.8,0.13,3.33,0.78,0,7.12,3,28,2.6e+07,34000,174,40,1,54600000,2,226,2,1
148,0.63,66,0,3.75,0,0,5.63,3,19,575000,3000,186,5,1,1300000,1,11,3,3
1684,0.27,74.1,0.16,1.28,0.59,0,4.6,4,22,3.3e+07,59000,179,12,1,58600000,1,21,4,5
3107,0,69.4,0.03,3.91,0.58,0,7.88,3,21,1.7e+07,27000,183,4,0,35700000,1,159,1,3
1384,0.71,74.9,0.06,1.3,0.13,0,4.09,4,34,20500000,105000,169,1,1,34900000,1,10,3,1
311,0,84.5,0,3.14,2.86,0,8.86,2,20,2600000,8000,191,23,1,5200000,1,88,4,3
3240,0,81.5,0,3.5,3.89,0.03,8.72,2,22,2500000,6000,190,48,0,5000000,1,22,3,5
743,0.36,79.8,0.36,2.89,0.12,0,8.55,3,23,4.6e+07,78000,179,7,1,81700000,1,15,4,3
133,2,81.1,0,2,0.67,0,8,4,26,1e+07,88000,189,1,1,19300000,1,431,1,3
2790,0,81.4,0,0,0,0,4.45,1,32,8500000,48000,183,15,1,14500000,2,10,3,1
270,0,72.1,0,0,0,0.33,7,1,35,350000,7000,191,5,0,630000,1,110,3,2
2592,0.42,75.1,0.35,1.04,0.03,0,3.82,4,34,1e+07,51000,175,3,1,19000000,1,1616,5,3
2038,0.22,94.5,0,3.58,1.15,0.04,8.27,3,29,2.2e+07,85000,188,8,1,40700000,1,12,5,4
2038,0.22,94.5,0,3.58,1.15,0.04,8.27,3,22,1500000,3000,175,4,0,3100000,1,1869,18,1
2038,0.22,94.5,0,3.58,1.15,0.04,8.27,3,25,625000,500,179,13,1,1400000,2,479,67,1
2038,0.22,94.5,0,3.58,1.15,0.04,8.27,3,20,5e+05,1000,175,40,1,1000000,2,1338,12,4
585,0,77.1,0.15,4.31,1.69,0,7.23,3,26,950000,6000,185,81,1,1800000,1,513,3,3
1484,0.12,73.1,0.18,1.52,0,0,5.45,4,25,18500000,79000,165,8,1,36500000,1,58,1,3
380,0.24,62.2,0,1.67,0.48,0,3.57,4,24,1400000,7000,185,7,1,3200000,1,112,2,5
90,0,70,0,0,0,0,5,1,19,825000,1000,186,16,1,1900000,1,49,4,3
2757,0.1,74.2,0.36,3.56,1.67,0.03,8.01,2,23,6e+06,20000,180,16,0,11400000,1,70,4,4
2160,0,67.1,0,0,0,0.04,5.25,1,25,4600000,27000,183,7,1,9500000,1,142,1,2
3179,0.03,90.7,0.11,4.87,1.5,0.03,10.4,3,22,4.3e+07,69000,185,4,1,84900000,1,33,1,3
1644,0,76,0,5.14,2.4,0,10.2,2,28,2800000,23000,183,7,0,5900000,1,40,2,2
2832,0.1,76,0.1,2.6,0.6,0,7.56,3,33,3500000,24000,178,7,1,7700000,1,1220,2,2
2832,0.1,76,0.1,2.6,0.6,0,7.56,3,25,1e+06,4000,171,6,1,1600000,2,347,67,1
2832,0.1,76,0.1,2.6,0.6,0,7.56,2,21,775000,1000,175,7,1,1400000,1,384,67,2
2832,0.1,76,0.1,2.6,0.6,0,7.56,3,19,325000,1000,178,9,1,756000,3,1078,9,1
689,0,66.8,0,4.94,1.69,0,6.62,2,30,4800000,42000,174,4,0,9100000,1,319,1,2
689,0,66.8,0,4.94,1.69,0,6.62,4,27,550000,5000,173,4,1,1000000,1,115,67,1
879,0,90.6,0,2.55,3.98,0,6.73,2,26,11500000,60000,190,5,1,19800000,1,16,3,2
1655,0.11,80.5,0,4.78,2.17,0,11,3,25,9e+06,28000,175,60,1,16000000,4,70,4,3
142,0,71.8,0,3.75,3.75,0,8.13,2,22,2200000,6000,185,23,0,4400000,1,513,3,3
1004,0.36,59.6,0,0.8,0.89,0,3.21,4,26,2400000,28000,194,16,1,4300000,1,285,4,1
949,0,79.4,0,4.86,1.9,0,8.95,2,28,12500000,48000,182,3,1,23800000,1,2285,5,1
1720,0.1,87.5,0.21,2.46,0.58,0,7.23,3,35,2.2e+07,44000,173,7,0,46200000,1,40,2,1
1720,0.1,87.5,0.21,2.46,0.58,0,7.23,2,26,5e+05,2000,188,2,1,1100000,2,262,6,2
351,0,80.2,0,3.85,1.28,0,5.9,2,25,6500000,36000,179,12,0,11500000,1,27,4,2
3414,0,53.6,0,0,0,0.03,5.28,1,28,20500000,30000,192,7,1,44600000,1,112,2,1
2415,0.07,85.1,0.11,5.19,1.01,0,11.3,3,24,14500000,25000,184,14,1,25700000,1,49,4,3
124,0,77.2,0,6.43,0.71,0,13.6,3,32,2e+06,25000,185,4,1,3800000,1,159,1,1
2819,0.13,79.9,0.16,2.75,0.45,0,9.01,2,33,7500000,28000,173,13,1,15800000,2,112,2,1
2819,0.13,79.9,0.16,2.75,0.45,0,9.01,3,27,1.6e+07,26000,178,7,1,34800000,1,62,2,2
2819,0.13,79.9,0.16,2.75,0.45,0,9.01,2,31,5e+05,3000,189,7,1,825000,1,1327,21,1
1543,0.35,77.2,0.47,2.34,0.94,0,8.01,3,20,2.3e+07,46000,186,37,1,43700000,1,15,4,5
1631,0.11,89.3,0,4.36,4.2,0,8.45,2,25,19500000,77000,187,15,1,38500000,2,23,1,3
146,0,51.2,0,3.75,2.5,0,7.5,2,20,1100000,6000,183,4,0,2900000,1,142,1,1
2211,0.04,90.5,0.24,5.16,3.05,0.12,13.5,2,22,6.4e+07,70000,186,3,1,118400000,1,1,4,5
1957,0.37,69.5,0.28,2.07,0.28,0,4.88,4,25,5500000,17000,168,5,0,10300000,1,22,3,1
203,0,79.8,0,4.35,3.91,0,6.96,2,32,2100000,14000,185,7,0,4400000,1,135,2,1
90,0,88.2,0,0,0,0,2,1,28,3e+06,53000,191,19,1,5700000,1,45,1,1
90,0,88.2,0,0,0,0,2,4,30,1200000,5000,180,4,0,2200000,1,901,18,2
1582,0.06,78.9,0.06,2.56,1.19,0,9.83,2,32,14500000,38000,181,11,1,30500000,1,67,2,1
1478,0.37,79.9,0.12,1.16,1.04,0,3.11,4,30,3e+06,45000,185,4,1,5700000,1,179,1,1
952,0,88.7,0,3.87,4.06,0.09,14.1,2,22,20500000,42000,196,3,0,39000000,1,21,4,1
